mouse;Hz;start;stop
136; 1; 0; 8
136; 1; 10; 18
136; 1; 22; 36
136; 1; 43; 60
136; 5; 0; 1
136; 5; 24; 37
136; 5; 42; 55
136; 20; 0; 6
136; 20; 21; 22
136; 40; 0; 11
136; 40; 19; 22
136; 40; 27; 46
136; 0; 0; 29
137; 1; 0; 12
137; 1; 14; 37
137; 1; 39; 51
137; 5; 0; 3
137; 5; 47; 60
137; 20; 1; 5
137; 20; 56; 61
137; 40; 1; 9
137; 40; 39; 54
137; 0; 0; 40
135; 1; 0; 8
135; 1; 33; 40
135; 5; 0; 7
135; 5; 47; 55
135; 20; 0; 2
135; 40; 0; 1
135; 0; 0; 40
135; 0; 57; 60
132; 0; 1; 20
132; 0; 21; 26
132; 0; 27; 32
132; 0; 36; 40
132; 0; 42; 47
132; 1; 0; 2
132; 1; 5; 14
132; 1; 17; 26
132; 1; 29; 36
132; 1; 47; 48
132; 5; 0; 5
132; 5; 41; 48
132; 20; 0; 5
132; 40; 0; 1
133; 0; 0; 18
133; 0; 20; 31
133; 0; 33; 35
133; 0; 37; 39
133; 1; 0; 5
133; 1; 7; 11
133; 1; 14; 18
133; 1; 22; 24
133; 1; 28; 29
133; 1; 39; 41
133; 1; 44; 47
133; 5; 0; 4
133; 5; 7; 17
133; 5; 21; 22
133; 20; 0; 2
133; 40; 0; 1
134; 0; 0; 7
134; 0; 22; 29
134; 0; 46; 48
134; 1; 0; 7
134; 1; 8; 13
134; 1; 15; 22
134; 1; 41; 48
134; 5; 0; 4
134; 5; 10; 11
134; 5; 14; 15
134; 20; 0; 1
134; 40; 0; 1
