,datetime,id_cage,n_bouts,mean_bout_dur,bout_change_g,num_meals,avg_meal_dur,avg_meal_g
0,2014-04-17 17:00:00,5.0,4.0,23.75,0.30999999999999994,2,684.5,0.315
1,2014-04-17 17:15:00,5.0,0.0,,,,,
2,2014-04-17 17:30:00,5.0,2.0,27.0,0.14,,,
3,2014-04-17 17:45:00,5.0,5.0,24.0,0.18,,,
0,2014-04-17 17:00:00,6.0,4.0,13.25,0.14,2,543.0,0.165
1,2014-04-17 17:15:00,6.0,0.0,,,,,
2,2014-04-17 17:30:00,6.0,0.0,,,,,
3,2014-04-17 17:45:00,6.0,4.0,28.75,0.19,,,
0,2014-04-17 17:00:00,7.0,0.0,,,2,17.0,0.13
1,2014-04-17 17:15:00,7.0,1.0,16.0,0.16,,,
2,2014-04-17 17:30:00,7.0,0.0,,,,,
3,2014-04-17 17:45:00,7.0,1.0,18.0,0.1,,,
0,2014-04-17 17:00:00,8.0,1.0,13.0,0.07,3,86.3333333333,0.113333333333
1,2014-04-17 17:15:00,8.0,0.0,,,,,
2,2014-04-17 17:30:00,8.0,3.0,38.0,0.18,,,
3,2014-04-17 17:45:00,8.0,1.0,15.0,0.09,,,
0,2014-04-17 17:00:00,9.0,0.0,,,1,212.0,0.21
1,2014-04-17 17:15:00,9.0,0.0,,,,,
2,2014-04-17 17:30:00,9.0,4.0,14.75,0.25,,,
3,2014-04-17 17:45:00,9.0,0.0,,,,,
