mouse;Hz;start;stop
1; 1; 0; 6
1; 1; 8; 19
1; 1; 22; 34
1; 1; 41; 52
1; 5; 0; 10
1; 5; 20; 21
1; 10; 0; 10
1; 20; 0; 0
2; 1; 0; 18
2; 1; 20; 30
2; 1; 32; 46
2; 1; 48; 60
2; 5; 0; 6
2; 5; 9; 11
2; 5; 26; 47
2; 5; 51; 58
2; 10; 0; 2
2; 20; 0; 1
2; 0; 0; 26
2; 0; 30; 38
2; 0; 40; 51
2; 0; 53; 60
3; 1; 0; 19
3; 1; 22; 28
3; 1; 38; 46
3; 1; 49; 57
3; 5; 0; 8
3; 5; 12; 16
3; 5; 28; 37
3; 5; 40; 43
3; 10; 0; 15
3; 10; 19; 20
3; 10; 41; 47
3; 20; 0; 2
3; 20; 10; 11
3; 20; 29; 38
3; 20; 53; 55
3; 20; 58; 59
3; 0; 0; 10
3; 0; 29; 39
3; 0; 44; 45
4; 1; 0; 18
4; 1; 21; 28
4; 1; 39; 53
4; 1; 55; 60
4; 5; 0; 13
4; 5; 15; 20
4; 5; 43; 53
4; 5; 57; 60
4; 10; 0; 1
4; 20; 0; 1
4; 0; 0; 9
4; 0; 31; 41
4; 0; 43; 44
1; 0; 0; 15
1; 0; 16; 27
1; 0; 29; 39
1; 0; 42; 60
5; 1; 0; 60
5; 5; 0; 7
5; 5; 9; 11
5; 5; 41; 48
5; 5; 51; 56
5; 10; 0; 2
5; 20; 0; 0
5; 0; 0; 21
5; 0; 24; 46
5; 0; 47; 60
1683; 1; 0; 2
1683; 1; 6; 7
1683; 1; 38; 48
1683; 5; 0; 3
1683; 5; 12; 21
1683; 5; 32; 37
1683; 5; 40; 50
1683; 5; 53; 60
1683; 10; 0; 2
1683; 10; 6; 7
1683; 10; 38; 48
1683; 20; 0; 1
1683; 20; 3; 8
1683; 20; 10; 14
1683; 20; 41; 46
1683; 20; 49; 54
1683; 20; 57; 60
1683; 0; 0; 13
1683; 0; 15; 32
1683; 0; 34; 43
2355; 1; 0; 15
2355; 1; 22; 29
2355; 1; 42; 47
2355; 1; 53; 60
2355; 5; 0; 2
2355; 5; 8; 14
2355; 5; 19; 20
2355; 5; 39; 50
2355; 10; 11; 18
2355; 10; 26; 28
2355; 10; 35; 36
2355; 10; 44; 58
2355; 20; 9; 10
2355; 20; 32; 39
2355; 20; 49; 53
2355; 20; 59; 60
2355; 0; 0; 2
2355; 0; 7; 10
2355; 0; 15; 19
2355; 0; 21; 26
2355; 0; 47; 55
2355; 0; 59; 60
