mouse;Hz;start;stop
1; 1; 0; 6
1; 1; 8; 19
1; 1; 22; 34
1; 1; 41; 52
1; 5; 0; 10
1; 5; 20; 21
1; 10; 0; 10
1; 20; 0; 0
2; 1; 0; 18
2; 1; 20; 30
2; 1; 32; 46
2; 1; 48; 60
2; 5; 0; 6
2; 5; 9; 11
2; 5; 26; 47
2; 5; 51; 58
2; 10; 0; 2
2; 20; 0; 1
2; 0; 0; 26
2; 0; 30; 38
2; 0; 40; 51
2; 0; 53; 60
3; 1; 0; 19
3; 1; 22; 28
3; 1; 38; 46
3; 1; 49; 57
3; 5; 0; 8
3; 5; 12; 16
3; 5; 28; 37
3; 5; 40; 43
3; 10; 0; 15
3; 10; 19; 20
3; 10; 41; 47
3; 20; 0; 2
3; 20; 10; 11
3; 20; 29; 38
3; 20; 53; 55
3; 20; 58; 59
3; 0; 0; 10
3; 0; 29; 39
3; 0; 44; 45
4; 1; 0; 18
4; 1; 21; 28
4; 1; 39; 53
4; 1; 55; 60
4; 5; 0; 13
4; 5; 15; 20
4; 5; 43; 53
4; 5; 57; 60
4; 10; 0; 1
4; 20; 0; 1
4; 0; 0; 9
4; 0; 31; 41
4; 0; 43; 44
1; 0; 0; 15
1; 0; 16; 27
1; 0; 29; 39
1; 0; 42; 60
5; 1; 0; 60
5; 5; 0; 7
5; 5; 9; 11
5; 5; 41; 48
5; 5; 51; 56
5; 10; 0; 2
5; 20; 0; 0
5; 0; 0; 21
5; 0; 24; 46
5; 0; 47; 60
X; 1; 0; 2
X; 1; 10; 16
X; 1; 27; 30
X; 1; 38; 41
X; 1; 48; 57
X; 5; 0; 1
X; 5; 11; 16
X; 5; 27; 31
X; 5; 35; 41
X; 5; 49; 53
X; 10; 0; 3
X; 10; 7; 12
X; 10; 19; 26
X; 10; 45; 56
X; 20; 1; 2
X; 20; 6; 9
X; 20; 31; 38
X; 0; 0; 24
X; 0; 35; 43
X; 0; 47; 51
Y; 1; 3; 10
Y; 1; 36; 39
Y; 1; 54; 61
Y; 5; 0; 8
Y; 5; 24; 30
Y; 5; 47; 52
Y; 5; 56; 60
Y; 10; 2; 3
Y; 10; 9; 15
Y; 10; 30; 40
Y; 10; 45; 51
Y; 20; 1; 4
Y; 20; 13; 20
Y; 0; 0; 8
Y; 0; 28; 32
Y; 0; 37; 40
Y; 0; 42; 47
Y; 0; 53; 54
Z; 1; 1; 2
Z; 1; 17; 27
Z; 1; 54; 59
Z; 5; 1; 2
Z; 5; 14; 26
Z; 5; 29; 33
Z; 5; 39; 47
Z; 10; 1; 2
Z; 20; 1; 3
Z; 20; 13; 31
Z; 0; 0; 6
Z; 0; 9; 12
Z; 0; 34; 42
