,5:17:39.713,meter,tag
122,5:17:40.457,0.0036025,True
495,5:17:42.601,0.003014,True
862,5:17:44.750,0.0045184,True
1200,5:17:46.897,0.0073243,True
1536,5:17:49.011,0.0027193,True
1883,5:17:51.151,0.005672,True
2257,5:17:53.276,0.0023221,True
2612,5:17:55.417,0.00091382,True
2945,5:17:57.521,0.0012687999999999998,True
3280,5:17:59.648,0.0037345,True
3616,5:18:01.770,0.0012772,True
3641,5:18:01.934,2.0070999999999998e-05,True
3986,5:18:03.872,0.0052843000000000005,True
4325,5:18:06.047,0.0050382,True
4665,5:18:08.194,0.0061284,True
5008,5:18:10.318,0.00099939,True
5362,5:18:12.443,0.0013977,True
5742,5:18:14.567,0.0069408000000000004,True
5925,5:18:15.735,2.641e-05,True
6078,5:18:16.708,0.00093072,True
6415,5:18:18.854,0.0020136,True
6762,5:18:20.996,0.007134100000000001,True
7119,5:18:23.117,0.0023221,True
7487,5:18:25.222,0.0038126999999999996,True
7815,5:18:27.372,0.0047593,True
8153,5:18:29.529,0.0045268,True
8507,5:18:31.670,0.0012286,True
8867,5:18:33.796,0.0040282,True
9223,5:18:35.919,0.004523699999999999,True
9559,5:18:38.062,0.0051776,True
9895,5:18:40.204,0.0018128,True
10240,5:18:42.306,0.0019745,True
10608,5:18:44.444,0.0050868,True
10957,5:18:46.551,0.0037662,True
11294,5:18:48.695,0.0081335,True
11641,5:18:50.818,0.004111699999999999,True
11999,5:18:52.964,0.0039542,True
12375,5:18:55.104,0.00075218,True
12717,5:18:57.220,0.0050001,True
13051,5:18:59.352,0.0034905,True
13392,5:19:01.494,0.0021002,True
13403,5:19:01.561,2.324e-05,True
13744,5:19:03.644,0.0049188,True
